,Model,Managment,Discount,Metric,Result
5,RF,Moderate,DR1,optimal,-554.7454525030736
0,RF,Moderate,DR3,F,-0.5040831457197176
1,RF,Moderate,DR3,G,1.565657265751115
2,RF,Moderate,DR3,times,1.565657265751115
3,RF,Moderate,DR3,salvage,-480.0381840507605
4,RF,Moderate,DR3,no_salvage,-470.347149238606
5,RF,Moderate,DR3,optimal,-487.46615615128053
0,RF,Moderate,DR5,F,-0.2645787923957659
1,RF,Moderate,DR5,G,2.8752575009741297
2,RF,Moderate,DR5,times,2.429148619844581
3,RF,Moderate,DR5,salvage,-439.4087109879773
4,RF,Moderate,DR5,no_salvage,-441.27318586410956
5,RF,Moderate,DR5,optimal,-451.42561000017224
0,RF,Light,NoDR,F,-0.6157605404798706
1,RF,Light,NoDR,G,1.0174030886734684
2,RF,Light,NoDR,times,1.0174030886734684
3,RF,Light,NoDR,salvage,-634.553441109148
4,RF,Light,NoDR,no_salvage,-592.9195724865214
5,RF,Light,NoDR,optimal,-637.277241800213
0,RF,Light,DR1,F,-0.5700361287926698
1,RF,Light,DR1,G,1.300693374564829
2,RF,Light,DR1,times,1.300693374564829
3,RF,Light,DR1,salvage,-578.373898171558
4,RF,Light,DR1,no_salvage,-551.7866394915543
5,RF,Light,DR1,optimal,-583.4044694982382
0,RF,Light,DR3,F,-0.34627246975006837
1,RF,Light,DR3,G,2.287611672673368
2,RF,Light,DR3,times,2.287611672673368
3,RF,Light,DR3,salvage,-505.1310255859632
4,RF,Light,DR3,no_salvage,-499.8630458413971
5,RF,Light,DR3,optimal,-516.1364043852362
0,RF,Light,DR5,F,-0.18834458771458965
1,RF,Light,DR5,G,4.055883090360636
2,RF,Light,DR5,times,2.0695963576969607
3,RF,Light,DR5,salvage,-463.1733271662158
4,RF,Light,DR5,no_salvage,-471.58636087703985
5,RF,Light,DR5,optimal,-480.35225738069
0,RF,Comm-Ind,NoDR,F,-0.3603911780270723
1,RF,Comm-Ind,NoDR,G,0.8970393134462532
2,RF,Comm-Ind,NoDR,times,0.8970393134462532
3,RF,Comm-Ind,NoDR,salvage,-584.5684058142494
4,RF,Comm-Ind,NoDR,no_salvage,-526.1737816455578
5,RF,Comm-Ind,NoDR,optimal,-585.8939850998174
0,RF,Comm-Ind,DR1,F,-0.48347216679153693
1,RF,Comm-Ind,DR1,G,0.8607322988592622
2,RF,Comm-Ind,DR1,times,0.8607322988592622
3,RF,Comm-Ind,DR1,salvage,-532.805053319103
4,RF,Comm-Ind,DR1,no_salvage,-484.0924245251097
5,RF,Comm-Ind,DR1,optimal,-534.279263678383
0,RF,Comm-Ind,DR3,F,-0.8573092468029445
1,RF,Comm-Ind,DR3,G,0.7890884544705697
2,RF,Comm-Ind,DR3,times,0.7890884544705697
3,RF,Comm-Ind,DR3,salvage,-465.39167034676495
4,RF,Comm-Ind,DR3,no_salvage,-431.35423468745313
5,RF,Comm-Ind,DR3,optimal,-467.830838699558
0,RF,Comm-Ind,DR5,F,-0.6269360448313869
1,RF,Comm-Ind,DR5,G,1.138110790293071
2,RF,Comm-Ind,DR5,times,1.138110790293071
3,RF,Comm-Ind,DR5,salvage,-426.73602148578624
4,RF,Comm-Ind,DR5,no_salvage,-403.0737022492998
5,RF,Comm-Ind,DR5,optimal,-430.7087994360534
0,RF,HighGrade,NoDR,F,0.9124566154762098
1,RF,HighGrade,NoDR,G,1.0577339162128527
2,RF,HighGrade,NoDR,times,1.0577339162128527
3,RF,HighGrade,NoDR,salvage,-641.807345216278
4,RF,HighGrade,NoDR,no_salvage,-583.9122529264706
5,RF,HighGrade,NoDR,optimal,-642.345594858925
0,RF,HighGrade,DR1,F,-0.22357364375505517
1,RF,HighGrade,DR1,G,1.0390145350941695
